Frame,keypoint
26.0,"[0.18333333333333332, 0.5597222222222222]"
26.0,"[0.17395833333333333, 0.5430555555555555]"
26.0,"[0.16145833333333334, 0.525]"
26.0,"[0.11770833333333333, 0.4986111111111111]"
26.0,"[0.11041666666666666, 0.49444444444444446]"
26.0,"[0.10625, 0.47638888888888886]"
26.0,"[0.10729166666666666, 0.4625]"
26.0,"[0.10625, 0.4527777777777778]"
26.0,"[0.10833333333333334, 0.4375]"
26.0,"[0.11875, 0.39305555555555555]"
26.0,"[0.134375, 0.35555555555555557]"
26.0,"[0.15729166666666666, 0.32083333333333336]"
27.0,"[0.18541666666666667, 0.6847222222222222]"
27.0,"[0.1875, 0.6819444444444445]"
27.0,"[0.18958333333333333, 0.6763888888888889]"
27.0,"[0.18958333333333333, 0.6666666666666666]"
27.0,"[0.19270833333333334, 0.6569444444444444]"
27.0,"[0.19583333333333333, 0.6444444444444445]"
27.0,"[0.19583333333333333, 0.6263888888888889]"
27.0,"[0.19166666666666668, 0.5819444444444445]"
27.0,"[0.18333333333333332, 0.5597222222222222]"
27.0,"[0.17395833333333333, 0.5430555555555555]"
27.0,"[0.16145833333333334, 0.525]"
27.0,"[0.11770833333333333, 0.4986111111111111]"
27.0,"[0.11041666666666666, 0.49444444444444446]"
27.0,"[0.10625, 0.47638888888888886]"
27.0,"[0.10729166666666666, 0.4625]"
27.0,"[0.10625, 0.4527777777777778]"
27.0,"[0.10833333333333334, 0.4375]"
27.0,"[0.11875, 0.39305555555555555]"
27.0,"[0.134375, 0.35555555555555557]"
27.0,"[0.15729166666666666, 0.32083333333333336]"
28.0,"[0.18541666666666667, 0.6847222222222222]"
28.0,"[0.1875, 0.6819444444444445]"
28.0,"[0.18958333333333333, 0.6763888888888889]"
28.0,"[0.18958333333333333, 0.6666666666666666]"
28.0,"[0.19270833333333334, 0.6569444444444444]"
28.0,"[0.19583333333333333, 0.6444444444444445]"
28.0,"[0.19583333333333333, 0.6263888888888889]"
28.0,"[0.19166666666666668, 0.5819444444444445]"
28.0,"[0.18333333333333332, 0.5597222222222222]"
28.0,"[0.17395833333333333, 0.5430555555555555]"
28.0,"[0.16145833333333334, 0.525]"
28.0,"[0.11770833333333333, 0.4986111111111111]"
28.0,"[0.11041666666666666, 0.49444444444444446]"
28.0,"[0.10625, 0.47638888888888886]"
28.0,"[0.10729166666666666, 0.4625]"
28.0,"[0.10625, 0.4527777777777778]"
28.0,"[0.10833333333333334, 0.4375]"
28.0,"[0.11875, 0.39305555555555555]"
28.0,"[0.134375, 0.35555555555555557]"
28.0,"[0.15729166666666666, 0.32083333333333336]"
29.0,"[0.18541666666666667, 0.6847222222222222]"
29.0,"[0.1875, 0.6819444444444445]"
29.0,"[0.18958333333333333, 0.6763888888888889]"
29.0,"[0.18958333333333333, 0.6666666666666666]"
29.0,"[0.19270833333333334, 0.6569444444444444]"
29.0,"[0.19583333333333333, 0.6444444444444445]"
29.0,"[0.19583333333333333, 0.6263888888888889]"
29.0,"[0.19166666666666668, 0.5819444444444445]"
29.0,"[0.18333333333333332, 0.5597222222222222]"
29.0,"[0.17395833333333333, 0.5430555555555555]"
29.0,"[0.16145833333333334, 0.525]"
29.0,"[0.11770833333333333, 0.4986111111111111]"
29.0,"[0.11041666666666666, 0.49444444444444446]"
29.0,"[0.10625, 0.47638888888888886]"
29.0,"[0.10729166666666666, 0.4625]"
29.0,"[0.10625, 0.4527777777777778]"
29.0,"[0.10833333333333334, 0.4375]"
29.0,"[0.11875, 0.39305555555555555]"
29.0,"[0.134375, 0.35555555555555557]"
29.0,"[0.15729166666666666, 0.32083333333333336]"
30.0,"[0.18541666666666667, 0.6847222222222222]"
30.0,"[0.1875, 0.6819444444444445]"
30.0,"[0.18958333333333333, 0.6763888888888889]"
30.0,"[0.18958333333333333, 0.6666666666666666]"
30.0,"[0.19270833333333334, 0.6569444444444444]"
30.0,"[0.19583333333333333, 0.6444444444444445]"
30.0,"[0.19583333333333333, 0.6263888888888889]"
30.0,"[0.19166666666666668, 0.5819444444444445]"
30.0,"[0.18333333333333332, 0.5597222222222222]"
30.0,"[0.17395833333333333, 0.5430555555555555]"
30.0,"[0.16145833333333334, 0.525]"
30.0,"[0.11770833333333333, 0.4986111111111111]"
30.0,"[0.11041666666666666, 0.49444444444444446]"
30.0,"[0.10625, 0.47638888888888886]"
30.0,"[0.10729166666666666, 0.4625]"
30.0,"[0.10625, 0.4527777777777778]"
30.0,"[0.10833333333333334, 0.4375]"
30.0,"[0.11875, 0.39305555555555555]"
30.0,"[0.134375, 0.35555555555555557]"
30.0,"[0.15729166666666666, 0.32083333333333336]"
31.0,"[0.1875, 0.6819444444444445]"
31.0,"[0.18958333333333333, 0.6763888888888889]"
31.0,"[0.18958333333333333, 0.6666666666666666]"
31.0,"[0.19270833333333334, 0.6569444444444444]"
31.0,"[0.19583333333333333, 0.6444444444444445]"
31.0,"[0.19583333333333333, 0.6263888888888889]"
31.0,"[0.19166666666666668, 0.5819444444444445]"
31.0,"[0.18333333333333332, 0.5597222222222222]"
31.0,"[0.17395833333333333, 0.5430555555555555]"
31.0,"[0.16145833333333334, 0.525]"
31.0,"[0.11770833333333333, 0.4986111111111111]"
31.0,"[0.11041666666666666, 0.49444444444444446]"
31.0,"[0.10625, 0.47638888888888886]"
31.0,"[0.10729166666666666, 0.4625]"
31.0,"[0.10625, 0.4527777777777778]"
31.0,"[0.10833333333333334, 0.4375]"
31.0,"[0.11875, 0.39305555555555555]"
31.0,"[0.134375, 0.35555555555555557]"
31.0,"[0.15729166666666666, 0.32083333333333336]"
32.0,"[0.18958333333333333, 0.6763888888888889]"
32.0,"[0.18958333333333333, 0.6666666666666666]"
32.0,"[0.19270833333333334, 0.6569444444444444]"
32.0,"[0.19583333333333333, 0.6444444444444445]"
32.0,"[0.19583333333333333, 0.6263888888888889]"
32.0,"[0.19166666666666668, 0.5819444444444445]"
32.0,"[0.18333333333333332, 0.5597222222222222]"
32.0,"[0.17395833333333333, 0.5430555555555555]"
32.0,"[0.16145833333333334, 0.525]"
32.0,"[0.11770833333333333, 0.4986111111111111]"
32.0,"[0.11041666666666666, 0.49444444444444446]"
32.0,"[0.10625, 0.47638888888888886]"
32.0,"[0.10729166666666666, 0.4625]"
32.0,"[0.10625, 0.4527777777777778]"
32.0,"[0.10833333333333334, 0.4375]"
32.0,"[0.11875, 0.39305555555555555]"
32.0,"[0.134375, 0.35555555555555557]"
32.0,"[0.15729166666666666, 0.32083333333333336]"
33.0,"[0.18958333333333333, 0.6666666666666666]"
33.0,"[0.19270833333333334, 0.6569444444444444]"
33.0,"[0.19583333333333333, 0.6444444444444445]"
33.0,"[0.19583333333333333, 0.6263888888888889]"
33.0,"[0.19166666666666668, 0.5819444444444445]"
33.0,"[0.18333333333333332, 0.5597222222222222]"
33.0,"[0.17395833333333333, 0.5430555555555555]"
33.0,"[0.16145833333333334, 0.525]"
33.0,"[0.11770833333333333, 0.4986111111111111]"
33.0,"[0.11041666666666666, 0.49444444444444446]"
33.0,"[0.10625, 0.47638888888888886]"
33.0,"[0.10729166666666666, 0.4625]"
33.0,"[0.10625, 0.4527777777777778]"
33.0,"[0.10833333333333334, 0.4375]"
33.0,"[0.11875, 0.39305555555555555]"
33.0,"[0.134375, 0.35555555555555557]"
33.0,"[0.15729166666666666, 0.32083333333333336]"
34.0,"[0.19270833333333334, 0.6569444444444444]"
34.0,"[0.19583333333333333, 0.6444444444444445]"
34.0,"[0.19583333333333333, 0.6263888888888889]"
34.0,"[0.19166666666666668, 0.5819444444444445]"
34.0,"[0.18333333333333332, 0.5597222222222222]"
34.0,"[0.17395833333333333, 0.5430555555555555]"
34.0,"[0.16145833333333334, 0.525]"
34.0,"[0.11770833333333333, 0.4986111111111111]"
34.0,"[0.11041666666666666, 0.49444444444444446]"
34.0,"[0.10625, 0.47638888888888886]"
34.0,"[0.10729166666666666, 0.4625]"
34.0,"[0.10625, 0.4527777777777778]"
34.0,"[0.10833333333333334, 0.4375]"
34.0,"[0.11875, 0.39305555555555555]"
34.0,"[0.134375, 0.35555555555555557]"
34.0,"[0.15729166666666666, 0.32083333333333336]"
35.0,"[0.19583333333333333, 0.6444444444444445]"
35.0,"[0.19583333333333333, 0.6263888888888889]"
35.0,"[0.19166666666666668, 0.5819444444444445]"
35.0,"[0.18333333333333332, 0.5597222222222222]"
35.0,"[0.17395833333333333, 0.5430555555555555]"
35.0,"[0.16145833333333334, 0.525]"
35.0,"[0.11770833333333333, 0.4986111111111111]"
35.0,"[0.11041666666666666, 0.49444444444444446]"
35.0,"[0.10625, 0.47638888888888886]"
35.0,"[0.10729166666666666, 0.4625]"
35.0,"[0.10625, 0.4527777777777778]"
35.0,"[0.10833333333333334, 0.4375]"
35.0,"[0.11875, 0.39305555555555555]"
35.0,"[0.134375, 0.35555555555555557]"
35.0,"[0.15729166666666666, 0.32083333333333336]"
36.0,"[0.19583333333333333, 0.6263888888888889]"
36.0,"[0.19166666666666668, 0.5819444444444445]"
36.0,"[0.18333333333333332, 0.5597222222222222]"
36.0,"[0.17395833333333333, 0.5430555555555555]"
36.0,"[0.16145833333333334, 0.525]"
36.0,"[0.11770833333333333, 0.4986111111111111]"
36.0,"[0.11041666666666666, 0.49444444444444446]"
36.0,"[0.10625, 0.47638888888888886]"
36.0,"[0.10729166666666666, 0.4625]"
36.0,"[0.10625, 0.4527777777777778]"
36.0,"[0.10833333333333334, 0.4375]"
36.0,"[0.11875, 0.39305555555555555]"
36.0,"[0.134375, 0.35555555555555557]"
36.0,"[0.15729166666666666, 0.32083333333333336]"
37.0,"[0.19166666666666668, 0.5819444444444445]"
37.0,"[0.18333333333333332, 0.5597222222222222]"
37.0,"[0.17395833333333333, 0.5430555555555555]"
37.0,"[0.16145833333333334, 0.525]"
37.0,"[0.11770833333333333, 0.4986111111111111]"
37.0,"[0.11041666666666666, 0.49444444444444446]"
37.0,"[0.10625, 0.47638888888888886]"
37.0,"[0.10729166666666666, 0.4625]"
37.0,"[0.10625, 0.4527777777777778]"
37.0,"[0.10833333333333334, 0.4375]"
37.0,"[0.11875, 0.39305555555555555]"
37.0,"[0.134375, 0.35555555555555557]"
37.0,"[0.15729166666666666, 0.32083333333333336]"
38.0,"[0.18333333333333332, 0.5597222222222222]"
38.0,"[0.17395833333333333, 0.5430555555555555]"
38.0,"[0.16145833333333334, 0.525]"
38.0,"[0.11770833333333333, 0.4986111111111111]"
38.0,"[0.11041666666666666, 0.49444444444444446]"
38.0,"[0.10625, 0.47638888888888886]"
38.0,"[0.10729166666666666, 0.4625]"
38.0,"[0.10625, 0.4527777777777778]"
38.0,"[0.10833333333333334, 0.4375]"
38.0,"[0.11875, 0.39305555555555555]"
38.0,"[0.134375, 0.35555555555555557]"
38.0,"[0.15729166666666666, 0.32083333333333336]"
39.0,"[0.17395833333333333, 0.5430555555555555]"
39.0,"[0.16145833333333334, 0.525]"
39.0,"[0.11770833333333333, 0.4986111111111111]"
39.0,"[0.11041666666666666, 0.49444444444444446]"
39.0,"[0.10625, 0.47638888888888886]"
39.0,"[0.10729166666666666, 0.4625]"
39.0,"[0.10625, 0.4527777777777778]"
39.0,"[0.10833333333333334, 0.4375]"
39.0,"[0.11875, 0.39305555555555555]"
39.0,"[0.134375, 0.35555555555555557]"
39.0,"[0.15729166666666666, 0.32083333333333336]"
40.0,"[0.16145833333333334, 0.525]"
40.0,"[0.11770833333333333, 0.4986111111111111]"
40.0,"[0.11041666666666666, 0.49444444444444446]"
40.0,"[0.10625, 0.47638888888888886]"
40.0,"[0.10729166666666666, 0.4625]"
40.0,"[0.10625, 0.4527777777777778]"
40.0,"[0.10833333333333334, 0.4375]"
40.0,"[0.11875, 0.39305555555555555]"
40.0,"[0.134375, 0.35555555555555557]"
40.0,"[0.15729166666666666, 0.32083333333333336]"
41.0,"[0.11770833333333333, 0.4986111111111111]"
41.0,"[0.11041666666666666, 0.49444444444444446]"
41.0,"[0.10625, 0.47638888888888886]"
41.0,"[0.10729166666666666, 0.4625]"
41.0,"[0.10625, 0.4527777777777778]"
41.0,"[0.10833333333333334, 0.4375]"
41.0,"[0.11875, 0.39305555555555555]"
41.0,"[0.134375, 0.35555555555555557]"
41.0,"[0.15729166666666666, 0.32083333333333336]"
42.0,"[0.11041666666666666, 0.49444444444444446]"
42.0,"[0.10625, 0.47638888888888886]"
42.0,"[0.10729166666666666, 0.4625]"
42.0,"[0.10625, 0.4527777777777778]"
42.0,"[0.10833333333333334, 0.4375]"
42.0,"[0.11875, 0.39305555555555555]"
42.0,"[0.134375, 0.35555555555555557]"
42.0,"[0.15729166666666666, 0.32083333333333336]"
43.0,"[0.11041666666666666, 0.49444444444444446]"
43.0,"[0.10625, 0.47638888888888886]"
43.0,"[0.10729166666666666, 0.4625]"
43.0,"[0.10625, 0.4527777777777778]"
43.0,"[0.10833333333333334, 0.4375]"
43.0,"[0.11875, 0.39305555555555555]"
43.0,"[0.134375, 0.35555555555555557]"
43.0,"[0.15729166666666666, 0.32083333333333336]"
44.0,"[0.11041666666666666, 0.49444444444444446]"
44.0,"[0.10625, 0.47638888888888886]"
44.0,"[0.10729166666666666, 0.4625]"
44.0,"[0.10625, 0.4527777777777778]"
44.0,"[0.10833333333333334, 0.4375]"
44.0,"[0.11875, 0.39305555555555555]"
44.0,"[0.134375, 0.35555555555555557]"
44.0,"[0.15729166666666666, 0.32083333333333336]"
44.0,"[0.8354166666666667, 0.08472222222222223]"
45.0,"[0.10625, 0.47638888888888886]"
45.0,"[0.10729166666666666, 0.4625]"
45.0,"[0.10625, 0.4527777777777778]"
45.0,"[0.10833333333333334, 0.4375]"
45.0,"[0.11875, 0.39305555555555555]"
45.0,"[0.134375, 0.35555555555555557]"
45.0,"[0.15729166666666666, 0.32083333333333336]"
45.0,"[0.8354166666666667, 0.08472222222222223]"
46.0,"[0.10729166666666666, 0.4625]"
46.0,"[0.10625, 0.4527777777777778]"
46.0,"[0.10833333333333334, 0.4375]"
46.0,"[0.11875, 0.39305555555555555]"
46.0,"[0.134375, 0.35555555555555557]"
46.0,"[0.15729166666666666, 0.32083333333333336]"
46.0,"[0.8354166666666667, 0.08472222222222223]"
47.0,"[0.10625, 0.4527777777777778]"
47.0,"[0.10833333333333334, 0.4375]"
47.0,"[0.11875, 0.39305555555555555]"
47.0,"[0.134375, 0.35555555555555557]"
47.0,"[0.15729166666666666, 0.32083333333333336]"
47.0,"[0.8354166666666667, 0.08472222222222223]"
48.0,"[0.10833333333333334, 0.4375]"
48.0,"[0.11875, 0.39305555555555555]"
48.0,"[0.134375, 0.35555555555555557]"
48.0,"[0.15729166666666666, 0.32083333333333336]"
48.0,"[0.8354166666666667, 0.08472222222222223]"
